Fecha;Tiempo;Falla;Observación
5/04/2023;37,35;Script Datos abiertos;
10/04/2023;30,12;Sin novedad;
11/04/2023;27,48;Sin novedad;
12/04/2023;30,58;Script BVC;
13/04/2023;32,23;Pipeline Curva TES;
14/04/2023;26,29;Sin novedad;
18/04/2023;54,3;falla página SFC,script Curva TES,sincronización One Drive;
19/04/2023;35,17;Power Query Curva TES,Script SIFIC;
20/04/2023;31,03;Sin novedad;
21/04/2023;31,43;Script BVC;
24/04/2023;50,39;Script BVC,Fallas equipo;
25/04/2023;40,02;Script BVC,Script Repos;
27/04/2023;34,36;Sin novedad;
28/04/2023;36,47;Script BVC,Script TES,Chrome descarga de archivo datos abiertos;
2/05/2023;29,11;Sin novedad;
3/05/2023;42,13;Falla actualización Power BI;
4/05/2023;39,42;Sin novedad;
5/05/2023;41,02;Script BVC,Script Datos abiertos;
8/05/2023;43,54;Script BVC;
9/05/2023;48,47;Script BVC,Script Datos abiertos;
10/05/2023;43,5;Script BVC,Script SIFIC;Consulta para no traer todos los datos a BI
11/05/2023;28,06;Script BVC;Consulta para no traer todos los datos a Pivot
12/05/2023;37,05;Script BVC,Script TES;
15/05/2023;30,49;Script BVC,Script Repos;
16/05/2023;26,24;Sin novedad;
17/05/2023;30,24;Script BVC;
18/05/2023;25,06;Script BVC;
19/05/2023;25,04;Script BVC,Script SIFIC;
23/05/2023;37,03;Script BVC,Script TES;
24/05/2023;35,36;Script BVC,Script Datos abiertos,falla página SFC;
25/05/2023;34,02;Script BVC,Script Datos abiertos,Script Repos ofertas;
29/05/2023;35,55;Script BVC,Script Datos abiertos,Script SIFIC;
30/05/2023;32,06;Script BVC,Script Datos abiertos;
31/05/2023;32,2;Script BVC,Script Datos abiertos,Falla actualización sondeo;
1/06/2023;26,06;Script BVC,Script Datos abiertos;
2/06/2023;37,01;Script Datos abiertos,Falla descarga PPT monitor;Ajuste script BVC
5/06/2023;34,14;Script Datos abiertos,Script Repos;
6/06/2023;41,49;Actualización Chromedriver;
7/06/2023;46,22;Script Datos abiertos,Script SIFIC;Ajuste Script Datos abiertos
8/06/2023;33,29;Script Repos ofertas;Ajuste Script Datos abiertos (nueva estructura y archivo)
9/06/2023;27,47;Script Repos ofertas;
13/06/2023;25,03;Script TES;
14/06/2023;35,27;Sin novedad;
15/06/2023;32,24;Script Repos;
16/06/2023;25,34;Sin novedad;
21/06/2023;23,24;Script Repos,Script Repos ofertas;
22/06/2023;24,04;Script Repos,Script Repos ofertas;
23/06/2023;22,54;Script Repos,Script Repos ofertas;
26/06/2023;31,12;Sin novedad;
27/06/2023;31,31;Sin novedad;
28/06/2023;23,01;Script Repos;
29/06/2023;28,08;Script Repos,Script SIFIC;Incluir script tratamiento archivo SFC
30/06/2023;28,33;Script Repos,Script SIFIC;
5/07/2023;30,05;Script SIFIC;
6/07/2023;27,18;Sin novedad;
10/07/2023;37,29;Script Repos,Script SIFIC,Script Repos ofertas,Script Datos abiertos;
11/07/2023;23,57;Script Datos abiertos;
12/07/2023;36,47;Falla pivot sondeo;
14/07/2023;22,48;Script Repos ofertas;
17/07/2023;29,02;Script Repos,Script Repos ofertas;
18/07/2023;26,42;Sin novedad;
19/07/2023;21,5;Sin novedad;Ajuste para traer información FCP y Fondos inmobiliarias
21/07/2023;24,44;Script Repos ofertas;
24/07/2023;40,32;Script Repos ofertas,Falla pivot FCP e Inmobiliarias;
25/07/2023;31,45;Script Repos,Script Repos ofertas;
26/07/2023;29,03;Script Repos,Script Repos ofertas;
27/07/2023;22,06;Script Repos,Script Repos ofertas;
28/07/2023;25,04;Sin novedad;
31/07/2023;37,52;Script Repos,Script SIFIC,Falla sincronización sondeo;
1/08/2023;27,3;Sin novedad;
2/08/2023;24,47;Script Repos;
3/08/2023;30,19;Script SIFIC,Falla actualización sondeo,Falla actualización Power BI;
4/08/2023;22,15;Sin novedad;
8/08/2023;25,06;Script Repos;
9/08/2023;26,4;Sin novedad;
10/08/2023;28,33;Sin novedad;
11/08/2023;24,15;Sin novedad;
14/08/2023;28,45;Script Repos,Script SIFIC,Script Datos abiertos;
16/08/2023;23,58;Sin novedad;
17/08/2023;32,55;Sin novedad;
18/08/2023;30,12;Script Repos;
22/08/2023;27,3;Script Repos;
23/08/2023;24,33;Sin novedad;
24/08/2023;27,37;Sin novedad;
25/08/2023;27,29;Sin novedad;
28/08/2023;30,58;Script Repos,Falla sincronización sondeo;
29/08/2023;31,52;Falla actualización Power BI;
30/08/2023;23,42;Sin novedad;
31/08/2023;33,06;Sin novedad;
1/09/2023;31,35;Sin novedad;Script para completar cifras de fiduciarias que no reportan
20/09/2023;34,59;Sin novedad;
21/09/2023;23,32;Sin novedad;
25/09/2023;23,35;Sin novedad;
26/09/2023;26,2;Sin novedad;
27/09/2023;27,42;Sin novedad;
28/09/2023;24,5;Sin novedad;
29/09/2023;23,1;Sin novedad;
2/10/2023;34,08;Falla actualización Power BI;
3/10/2023;38,01;Sin novedad;
4/10/2023;25,09;Falla memoria Excel;
5/10/2023;35,08;Sin novedad;
6/10/2023;33,45;Script Repos,Script SIFIC;
10/10/2023;36,22;Falla actualización Power BI,Script SIFIC;
11/10/2023;34,4;Script Repos;
17/10/2023;26,23;Sin novedad;
18/10/2023;32,29;Script Repos ofertas;
19/10/2023;34,02;Script SIFIC,Script Mercado secundario,Script Datos abiertos;
20/10/2023;28,24;Script Mercado secundario;
23/10/2023;33,06;Script Mercado secundario,Falla generación PDF en Power BI;
24/10/2023;24,19;Sin novedad;
25/10/2023;30,09;Sin novedad;
26/10/2023;25,5;Sin novedad;
27/10/2023;29,45;Falla memoria Excel;
31/10/2023;28,32;Script Repos ofertas,Script TES,Script TES Verdes;
1/11/2023;28,54;Sin novedad;
3/11/2023;30,19;Falla memoria Excel;
7/11/2023;27,21;Sin novedad;
8/11/2023;27,1;Sin novedad;
14/11/2023;24,58;Script SIFIC;
15/11/2023;24;Script Datos abiertos;
16/11/2023;33,15;Sin novedad;
17/11/2023;24;Script SIFIC;
20/11/2023;35,13;Sin novedad;
21/11/2023;24,48;Sin novedad;
22/11/2023;35,16;Falla actualización Power BI;
23/11/2023;30,02;Sin novedad;
24/11/2023;27,54;Sin novedad;
27/11/2023;38,43;Falla actualización Power BI;
28/11/2023;23,39;Sin novedad;
29/11/2023;34,11;Script SIFIC;
30/11/2023;32,28;falla página SFC;
1/12/2023;29,45;Script Repos ofertas;
